Symbol	Code	UnicodeName	PhoneticDescription
‼	203C	double exclamation mark	retroflex click
ᶑ	1D91	latin small letter d with hook and tail	voiced retroflex implosive
◌͈	0348	combining double vertical line below	fortis
◌͉	0349	combining left angle below	lenis
◌͓	0353	combining x below	frictionalized
◌̮	032E	combining breve below	derhoticized
◌͇	0347	combining equals sign below	non-sibilant
◌ˀ	02C0	modifier letter glottal stop	glottalized
ʱ◌	02B1	modifier letter small h with hook	voiced pre-aspirated
◌ᴱ	1D31	modifier letter capital e	epilaryngeal phonation
