left	graphemes	right	class	codepoints	Unicode_names	IPA_names
	a		1	U+0061	LATIN SMALL LETTER A	open front unrounded
	æ		1	U+00E6	LATIN SMALL LETTER AE	raised open front unrounded
	ɐ		1	U+0250	LATIN SMALL LETTER TURNED A	lowered schwa
	ɑ		1	U+0251	LATIN SMALL LETTER ALPHA	open back unrounded
	ɒ		1	U+0252	LATIN SMALL LETTER TURNED ALPHA	open back rounded
	b		1	U+0062	LATIN SMALL LETTER B	voiced bilabial plosive
	ʙ		1	U+0299	LATIN LETTER SMALL CAPITAL B	voiced bilabial trill
	ɓ		1	U+0253	LATIN SMALL LETTER B WITH HOOK	voiced bilabial implosive
	c		1	U+0063	LATIN SMALL LETTER C	voiceless palatal plosive
	ç		1	U+00E7	LATIN SMALL LETTER C WITH CEDILLA	voiceless palatal fricative
	ɕ		1	U+0255	LATIN SMALL LETTER C WITH CURL	voiceless alveolo-palatal fricative
	d		1	U+0064	LATIN SMALL LETTER D	voiced alveolar plosive
	ð		1	U+00F0	LATIN SMALL LETTER ETH	voiced dental fricative
	ɖ		1	U+0256	LATIN SMALL LETTER D WITH TAIL	voiced retroflex plosive
	ɗ		1	U+0257	LATIN SMALL LETTER D WITH HOOK	voiced dental/alveolar implosive
	e		1	U+0065	LATIN SMALL LETTER E	close-mid front unrounded
	ə		1	U+0259	LATIN SMALL LETTER SCHWA	mid-central schwa
	ɛ		1	U+025B	LATIN SMALL LETTER OPEN E	open-mid front unrounded
	ɘ		1	U+0258	LATIN SMALL LETTER REVERSED E	close-mid central unrounded
	ɜ		1	U+025C	LATIN SMALL LETTER REVERSED OPEN E	open-mid central unrounded
	ɞ		1	U+025E	LATIN SMALL LETTER CLOSED REVERSED OPEN E	open-mid central rounded
	ɤ		1	U+0264	LATIN SMALL LETTER RAMS HORN	close-mid back unrounded
	f		1	U+0066	LATIN SMALL LETTER F	voiceless labiodental fricative
	ɡ		1	U+0261	LATIN SMALL LETTER SCRIPT G	voiced velar plosive
