Grapheme	Codepoint	UnicodeName	IPAName
a	U+0061	LATIN SMALL LETTER A	open front unrounded
æ	U+00E6	LATIN SMALL LETTER AE	raised open front unrounded
ɐ	U+0250	LATIN SMALL LETTER TURNED A	lowered schwa
ɑ	U+0251	LATIN SMALL LETTER ALPHA	open back unrounded
ɒ	U+0252	LATIN SMALL LETTER TURNED ALPHA	open back rounded
b	U+0062	LATIN SMALL LETTER B	voiced bilabial plosive
ʙ	U+0299	LATIN LETTER SMALL CAPITAL B	voiced bilabial trill
ɓ	U+0253	LATIN SMALL LETTER B WITH HOOK	voiced bilabial implosive
c	U+0063	LATIN SMALL LETTER C	voiceless palatal plosive
ç	U+00E7	LATIN SMALL LETTER C WITH CEDILLA	voiceless palatal fricative
ɕ	U+0255	LATIN SMALL LETTER C WITH CURL	voiceless alveolo-palatal fricative
d	U+0064	LATIN SMALL LETTER D	voiced alveolar plosive
ð	U+00F0	LATIN SMALL LETTER ETH	voiced dental fricative
ɖ	U+0256	LATIN SMALL LETTER D WITH TAIL	voiced retroflex plosive
ɗ	U+0257	LATIN SMALL LETTER D WITH HOOK	voiced dental/alveolar implosive
e	U+0065	LATIN SMALL LETTER E	close-mid front unrounded
ə	U+0259	LATIN SMALL LETTER SCHWA	mid-central schwa
ɛ	U+025B	LATIN SMALL LETTER OPEN E	open-mid front unrounded
ɘ	U+0258	LATIN SMALL LETTER REVERSED E	close-mid central unrounded
ɜ	U+025C	LATIN SMALL LETTER REVERSED OPEN E	open-mid central unrounded
ɞ	U+025E	LATIN SMALL LETTER CLOSED REVERSED OPEN E	open-mid central rounded
ɤ	U+0264	LATIN SMALL LETTER RAMS HORN	close-mid back unrounded
f	U+0066	LATIN SMALL LETTER F	voiceless labiodental fricative
ɡ	U+0261	LATIN SMALL LETTER SCRIPT G	voiced velar plosive
g	U+0067	LATIN SMALL LETTER G	voiced velar plosive
ɢ	U+0262	LATIN LETTER SMALL CAPITAL G	voiced uvular plosive
ɠ	U+0260	LATIN SMALL LETTER G WITH HOOK	voiced velar implosive
ʛ	U+029B	LATIN LETTER SMALL CAPITAL G WITH HOOK	voiced uvular implosive
ɣ	U+0263	LATIN SMALL LETTER GAMMA	voiced velar fricative
h	U+0068	LATIN SMALL LETTER H	voiceless glottal fricative
ħ	U+0127	LATIN SMALL LETTER H WITH STROKE	voiceless pharyngeal fricative
ʜ	U+029C	LATIN LETTER SMALL CAPITAL H	voiceless epiglottal fricative
ɦ	U+0266	LATIN SMALL LETTER H WITH HOOK	voiced glottal fricative
ɧ	U+0267	LATIN SMALL LETTER HENG WITH HOOK	simultaneous voiceless postalveolar fricative and voiceless velar fricative
i	U+0069	LATIN SMALL LETTER I	close front unrounded
ɪ	U+026A	LATIN LETTER SMALL CAPITAL I	lax close front unrounded
ɨ	U+0268	LATIN SMALL LETTER I WITH STROKE	close central unrounded
j	U+006A	LATIN SMALL LETTER J	voiced palatal approximant
ʝ	U+029D	LATIN SMALL LETTER J WITH CROSSED-TAIL	voiced palatal fricative
ɟ	U+025F	LATIN SMALL LETTER DOTLESS J WITH STROKE	voiced palatal plosive
