originals	errors
31804	dh~g~emon	dh~ g ⁇ e m o n
32120	ek"w~a %adami	e k"w~ a   ⁇ a d a m i
43276	XXX//	X X X ⁇ ⁇
50780	XXX	//	X X X ⁇ ⁇ ⁇
52291	hm~*	hm~ ⁇
56316	XXX /	X X X   ⁇
61688	XXX /	X X X   ⁇
80746	na %tiri	n a   ⁇ t i r i
107972	ekadu7u%	e k a d u 7 u ⁇
108160	XXX//	X X X ⁇ ⁇
123914	e	rlwe	e ⁇ r l w e
163410	XXX//	X X X ⁇ ⁇
163415	XXX//	X X X ⁇ ⁇
163420	XXX//	X X X ⁇ ⁇
183579	dokh~ot %n3	d o kh~ o t   ⁇ n 3
193318	XXX//	X X X ⁇ ⁇
200763	a	mpwarenke	a ⁇ m p w a r e n k e
271327	XXX//	X X X ⁇ ⁇
273161	XXX /	X X X   ⁇
