originals	tokenized
kere	k e r e
ke	k e
ta	t a
tita	t i t a
tir	t i r
ti	t i
ta	t a
Ca	C a
Ci	C i
Cira	C i r a
Ca	C a
ta	t a
tita	t i t a
ta	t a
tita	t i t a
ti	t i
tira	t i r a
tire	t i r e
tire	t i r e
tita	t i t a
ma	m a
mi	m i
m	m
mihi	m i h i
mi	m i
N	N
na	n a
m	m
mi	m i
mi	m i
mi	m i
mihi	m i h i
ma	m a
m	m
mi	m i
ci	c i
N	N
NN	N N
N	N
aN	a N
am	a m
n	n
N	N
m	m
ka	k a
N	N
na	n a
N	N
n	n
ni	n i
m	m
a	a
N	N
NN	N N
m	m
na	n a
n	n
n	n
N	N
am	a m
mi	m i
bi	b i
mi	m i
mo	m o
hi5	h i 5
miya	m i y a
behya	b e h y a
miy	m i y
mi	m i
5io*	5 i o*
mi	m i
mb~i	mb~ i
am	a m
ani	a n i
my~o	my~ o
na	n a
n	n
mi*	m i*
mi	m i
mi	m i
mabe	m a b e
my~a	my~ a
meko	m e k o
ma	m a
m3	m 3
kim	k i m
ndi	n d i
win	w i n
mEk	m E k
am	a m
oni	o n i
Na	N a
m3	m 3
N	N
mi	m i
m3	m 3
mi	m i
mE	m E
ma	m a
me	m e
imb~a	i mb~ a
mE	m E
n	n
Tom	T o m
mi	m i
Ng~ai	Ng~ a i
me	m e
me	m e
ine	i n e
une	u n e
Nai	N a i
Na	N a
Nai	N a i
Na	N a
mb~ai	mb~ a i
mb~a	mb~ a
mo	m o
me	m e
miyano	m i y a n o
nene	n e n e
yami	y a m i
une	u n e
uneji	u n e j i
mu	m u
me	m e
mi	m i
me	m e
i5e	i 5 e
mE	m E
amE	a m E
nie	n i e
mb~ai	mb~ a i
mb~a	mb~ a
boN	b o N
mb~a	mb~ a
me	m e
mi	m i
mb~ai	mb~ a i
me	m e
mE	m E
no	n o
m3	m 3
nie	n i e
menu	m e n u
ni	n i
i5C~e	i 5C~ e
ni	n i
8i	8 i
ze	z e
nz~e	nz~ e
i5e	i 5 e
5owe	5 o w e
Tewe	T e w e
Te	T e
nene	n e n e
ami	a m i
mna	m n a
iNy~e	i Ny~ e
min	m i n
m3	m 3
nd~i	nd~ i
nd~a	nd~ a
m3	m 3
a5e	a 5 e
niye	n i y e
mi	m i
imi	i m i
5iE	5 i E
mum	m u m
m3	m 3
m3	m 3
mi	m i
nEnE	n E n E
am	a m
ami	a m i
ni	n i
neNg~a	n e Ng~ a
nana	n a n a
gy~ewe	gy~ e w e
ami	a m i
ne	n e
nene	n e n e
m	m
n	n
me	m e
m3	m 3
mi*yo	m i* y o
mi*5o	m i* 5 o
mb~a	mb~ a
na	n a
lim	l i m
mene	m e n e
ame	a m e
mene	m e n e
mene	m e n e
mene	m e n e
mene	m e n e
meno	m e n o
me	m e
mo	m o
var win	v a r   w i n
m3	m 3
nnE	n n E
ami	a m i
iNgy$e	i Ngy$ e
mE	m E
na	n a
mb~ai	mb~ a i
mb~a	mb~ a
mene	m e n e
emi	e m i
mi	m i
nz~e	nz~ e
mene	m e n e
Nai	N a i
Na	N a
ome	o m e
naNg~u	n a Ng~ u
me	m e
mE	m E
ise	i s e
nie	n i e
ame	a m e
m3	m 3
m3	m 3
me	m e
me	m e
m3	m 3
m3	m 3
mene	m e n e
ne	n e
ame	a m e
mi	m i
m3	m 3
ome	o m e
eme	e m e
mi	m i
m3	m 3
mna	m n a
mna	m n a
me	m e
ome	o m e
ume	u m e
ome	o m e
ne	n e
ne	n e
mE	m E
mi	m i
me	m e
m3	m 3
aNg~E	a Ng~ E
eme	e m e
niye	n i y e
m3N	m 3 N
e	e
mine	m i n e
nene	n e n e
neNg~a	n e Ng~ a
ine	i n e
mi	m i
5owa	5 o w a
ami	a m i
