Grapheme	Frequency	Codepoint	UnicodeName
!	652	U+0021	EXCLAMATION MARK
!"	41	U+0021, U+0022	EXCLAMATION MARK, QUOTATION MARK
!"w~	2	U+0021, U+0022, U+0077, U+007E	EXCLAMATION MARK, QUOTATION MARK, LATIN SMALL LETTER W, TILDE
!7~	23	U+0021, U+0037, U+007E	EXCLAMATION MARK, DIGIT SEVEN, TILDE
!d~	1	U+0021, U+0064, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER D, TILDE
!g~	19	U+0021, U+0067, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER G, TILDE
!gx$	2	U+0021, U+0067, U+0078, U+0024	EXCLAMATION MARK, LATIN SMALL LETTER G, LATIN SMALL LETTER X, DOLLAR SIGN
!h~	21	U+0021, U+0068, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER H, TILDE
!hw$	2	U+0021, U+0068, U+0077, U+0024	EXCLAMATION MARK, LATIN SMALL LETTER H, LATIN SMALL LETTER W, DOLLAR SIGN
!k~	9	U+0021, U+006B, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER K, TILDE
!kh$	5	U+0021, U+006B, U+0068, U+0024	EXCLAMATION MARK, LATIN SMALL LETTER K, LATIN SMALL LETTER H, DOLLAR SIGN
!kp$	1	U+0021, U+006B, U+0070, U+0024	EXCLAMATION MARK, LATIN SMALL LETTER K, LATIN SMALL LETTER P, DOLLAR SIGN
!n~	8	U+0021, U+006E, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER N, TILDE
!N~	9	U+0021, U+004E, U+007E	EXCLAMATION MARK, LATIN CAPITAL LETTER N, TILDE
!nS$	1	U+0021, U+006E, U+0053, U+0024	EXCLAMATION MARK, LATIN SMALL LETTER N, LATIN CAPITAL LETTER S, DOLLAR SIGN
!nw$	1	U+0021, U+006E, U+0077, U+0024	EXCLAMATION MARK, LATIN SMALL LETTER N, LATIN SMALL LETTER W, DOLLAR SIGN
!r~	2	U+0021, U+0072, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER R, TILDE
!S~	1	U+0021, U+0053, U+007E	EXCLAMATION MARK, LATIN CAPITAL LETTER S, TILDE
!t~	1	U+0021, U+0074, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER T, TILDE
!w~	8	U+0021, U+0077, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER W, TILDE
!x~	12	U+0021, U+0078, U+007E	EXCLAMATION MARK, LATIN SMALL LETTER X, TILDE
!X~	2	U+0021, U+0058, U+007E	EXCLAMATION MARK, LATIN CAPITAL LETTER X, TILDE
