ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
GWI-19-1,http://asjp.clld.org/languages/GWI,19,GWI,!ao,,
GXANA-19-1,http://asjp.clld.org/languages/GXANA,19,GXANA,!ao,,
KHOEKHOEGOWAB-19-1,http://asjp.clld.org/languages/KHOEKHOEGOWAB,19,KHOEKHOEGOWAB,!aub,,
KHOEKHOEGOWAB-19-2,http://asjp.clld.org/languages/KHOEKHOEGOWAB,19,KHOEKHOEGOWAB,!ganub,,
KHOEKHOEGOWAB-19-3,http://asjp.clld.org/languages/KHOEKHOEGOWAB,19,KHOEKHOEGOWAB,sui,,
KORANA-19-1,http://asjp.clld.org/languages/KORANA,19,KORANA,!7~au,,
KWADI-19-1,http://asjp.clld.org/languages/KWADI,19,KWADI,su7i,,
KXOE-19-1,http://asjp.clld.org/languages/KXOE,19,KXOE,!7~Eu,,
NAMA-19-1,http://asjp.clld.org/languages/NAMA,19,NAMA,!au,,
NARO-19-1,http://asjp.clld.org/languages/NARO,19,NARO,!7au,,
PROTO_WEST_KHOE-19-1,http://asjp.clld.org/languages/PROTO_WEST_KHOE,19,PROTO_WEST_KHOE,"!""au",,
JUHOAN-19-1,http://asjp.clld.org/languages/JUHOAN,19,JUHOAN,!7~3u,,
KUNG_EKOKA-19-1,http://asjp.clld.org/languages/KUNG_EKOKA,19,KUNG_EKOKA,!k~Enu,,
OUNG-19-1,http://asjp.clld.org/languages/OUNG,19,OUNG,!Eu,,
SANDAWE-19-1,http://asjp.clld.org/languages/SANDAWE,19,SANDAWE,somba,,
HADZA-19-1,http://asjp.clld.org/languages/HADZA,19,HADZA,N!~ama,,
AWAK-19-1,http://asjp.clld.org/languages/AWAK,19,AWAK,namo*E*,,
BALI_NIGERIA-19-1,http://asjp.clld.org/languages/BALI_NIGERIA,19,BALI_NIGERIA,di*,,
BESME-19-1,http://asjp.clld.org/languages/BESME,19,BESME,Ci,,
BON_GULA-19-1,http://asjp.clld.org/languages/BON_GULA,19,BON_GULA,hobo,,
BUA-19-1,http://asjp.clld.org/languages/BUA,19,BUA,Seib,,
DADIYA-19-1,http://asjp.clld.org/languages/DADIYA,19,DADIYA,jiNi,,
DAMA-19-1,http://asjp.clld.org/languages/DAMA,19,DAMA,Ce*,,
DAY-19-1,http://asjp.clld.org/languages/DAY,19,DAY,Zi,,
DOOHWAAYAAYO-19-1,http://asjp.clld.org/languages/DOOHWAAYAAYO,19,DOOHWAAYAAYO,dut,,
DOOHWAAYAAYO-19-2,http://asjp.clld.org/languages/DOOHWAAYAAYO,19,DOOHWAAYAAYO,dutu,,
FALI-19-1,http://asjp.clld.org/languages/FALI,19,FALI,Ti*Ti,,
GALKE-19-1,http://asjp.clld.org/languages/GALKE,19,GALKE,mo*i,,
GOUNDO-19-1,http://asjp.clld.org/languages/GOUNDO,19,GOUNDO,Ciri,,
GULA_IRO-19-1,http://asjp.clld.org/languages/GULA_IRO,19,GULA_IRO,haba,,
GULA_IRO-19-2,http://asjp.clld.org/languages/GULA_IRO,19,GULA_IRO,habe,,
KALI-19-1,http://asjp.clld.org/languages/KALI,19,KALI,njw$i*,,
