Left	Grapheme	Right	Class	Replacement	Frequency	Codepoint	UnicodeName
					4	U+0096	<control-0096>
					5	U+0080	<control-0080>
					38	U+0092	<control-0092>
	‎			‎	1	U+200E	LEFT-TO-RIGHT MARK
					1	U+0083	<control-0083>
					15	U+0094	<control-0094>
	­			­	11	U+00AD	SOFT HYPHEN
					1	U+0097	<control-0097>
					1	U+0099	<control-0099>
					14	U+0091	<control-0091>
					16	U+0093	<control-0093>
					3	U+0085	<control-0085>
	 			 	821	U+0020	SPACE
	 			 	10	U+00A0	NO-BREAK SPACE
	_			_	18	U+005F	LOW LINE
	-			-	1251	U+002D	HYPHEN-MINUS
	–			–	15	U+2013	EN DASH
	,			,	189	U+002C	COMMA
	;			;	41	U+003B	SEMICOLON
	:			:	48	U+003A	COLON
	!			!	1	U+0021	EXCLAMATION MARK
	?			?	3	U+003F	QUESTION MARK
	¿			¿	103	U+00BF	INVERTED QUESTION MARK
	.			.	585	U+002E	FULL STOP
	…			…	9	U+2026	HORIZONTAL ELLIPSIS
	·			·	1	U+00B7	MIDDLE DOT
	'			'	2	U+0027	APOSTROPHE
	‘			‘	1	U+2018	LEFT SINGLE QUOTATION MARK
	’			’	32	U+2019	RIGHT SINGLE QUOTATION MARK
	›			›	1	U+203A	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
	"			"	3	U+0022	QUOTATION MARK
	“			“	1	U+201C	LEFT DOUBLE QUOTATION MARK
	”			”	3	U+201D	RIGHT DOUBLE QUOTATION MARK
	„			„	1	U+201E	DOUBLE LOW-9 QUOTATION MARK
	«			«	3	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
	»			»	1	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
	(			(	20	U+0028	LEFT PARENTHESIS
	)			)	25	U+0029	RIGHT PARENTHESIS
	[			[	4	U+005B	LEFT SQUARE BRACKET
	]			]	1	U+005D	RIGHT SQUARE BRACKET
	{			{	2	U+007B	LEFT CURLY BRACKET
	}			}	1	U+007D	RIGHT CURLY BRACKET
	¶			¶	1	U+00B6	PILCROW SIGN
	@			@	17	U+0040	COMMERCIAL AT
	*			*	4	U+002A	ASTERISK
	/			/	127	U+002F	SOLIDUS
	&			&	54	U+0026	AMPERSAND
	#			#	18	U+0023	NUMBER SIGN
	%			%	3	U+0025	PERCENT SIGN
	•			•	2	U+2022	BULLET
	`			`	2	U+0060	GRAVE ACCENT
	´			´	1	U+00B4	ACUTE ACCENT
	˜			˜	1	U+02DC	SMALL TILDE
	¨			¨	2	U+00A8	DIAERESIS
	˝			˝	3	U+02DD	DOUBLE ACUTE ACCENT
	°			°	3	U+00B0	DEGREE SIGN
	©			©	4	U+00A9	COPYRIGHT SIGN
	®			®	1	U+00AE	REGISTERED SIGN
	+			+	6	U+002B	PLUS SIGN
	±			±	1	U+00B1	PLUS-MINUS SIGN
	=			=	2	U+003D	EQUALS SIGN
	>			>	1	U+003E	GREATER-THAN SIGN
	|			|	1	U+007C	VERTICAL LINE
	~			~	1	U+007E	TILDE
	¤			¤	1	U+00A4	CURRENCY SIGN
	¢			¢	1	U+00A2	CENT SIGN
	$			$	3	U+0024	DOLLAR SIGN
	€			€	2	U+20AC	EURO SIGN
	0			0	910	U+0030	DIGIT ZERO
	1			1	779	U+0031	DIGIT ONE
	½			½	103	U+00BD	VULGAR FRACTION ONE HALF
	2			2	506	U+0032	DIGIT TWO
	²			²	6	U+00B2	SUPERSCRIPT TWO
	3			3	333	U+0033	DIGIT THREE
	4			4	285	U+0034	DIGIT FOUR
	5			5	368	U+0035	DIGIT FIVE
	6			6	268	U+0036	DIGIT SIX
	7			7	243	U+0037	DIGIT SEVEN
	8			8	258	U+0038	DIGIT EIGHT
	9			9	320	U+0039	DIGIT NINE
	a			a	18167	U+0061	LATIN SMALL LETTER A
	A			A	1019	U+0041	LATIN CAPITAL LETTER A
	á			á	10	U+00E1	LATIN SMALL LETTER A WITH ACUTE
	à			à	8	U+00E0	LATIN SMALL LETTER A WITH GRAVE
	â			â	11	U+00E2	LATIN SMALL LETTER A WITH CIRCUMFLEX
	å			å	5	U+00E5	LATIN SMALL LETTER A WITH RING ABOVE
	ä			ä	3	U+00E4	LATIN SMALL LETTER A WITH DIAERESIS
	Ã			Ã	12	U+00C3	LATIN CAPITAL LETTER A WITH TILDE
	b			b	4314	U+0062	LATIN SMALL LETTER B
	B			B	1015	U+0042	LATIN CAPITAL LETTER B
	c			c	5522	U+0063	LATIN SMALL LETTER C
	C			C	777	U+0043	LATIN CAPITAL LETTER C
	ć			ć	1	U+0107	LATIN SMALL LETTER C WITH ACUTE
	č			č	1	U+010D	LATIN SMALL LETTER C WITH CARON
	ç			ç	5	U+00E7	LATIN SMALL LETTER C WITH CEDILLA
	d			d	10104	U+0064	LATIN SMALL LETTER D
	D			D	759	U+0044	LATIN CAPITAL LETTER D
	ď			ď	5	U+010F	LATIN SMALL LETTER D WITH CARON
	e			e	40812	U+0065	LATIN SMALL LETTER E
	E			E	689	U+0045	LATIN CAPITAL LETTER E
	é			é	115	U+00E9	LATIN SMALL LETTER E WITH ACUTE
	É			É	1	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
	è			è	21	U+00E8	LATIN SMALL LETTER E WITH GRAVE
	È			È	1	U+00C8	LATIN CAPITAL LETTER E WITH GRAVE
	ê			ê	7	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX
	ë			ë	164	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS
	ę			ę	2	U+0119	LATIN SMALL LETTER E WITH OGONEK
	f			f	2498	U+0066	LATIN SMALL LETTER F
	F			F	393	U+0046	LATIN CAPITAL LETTER F
	g			g	8568	U+0067	LATIN SMALL LETTER G
	G			G	623	U+0047	LATIN CAPITAL LETTER G
	ğ			ğ	1	U+011F	LATIN SMALL LETTER G WITH BREVE
	h			h	5068	U+0068	LATIN SMALL LETTER H
	H			H	650	U+0048	LATIN CAPITAL LETTER H
	i			i	17813	U+0069	LATIN SMALL LETTER I
	I			I	514	U+0049	LATIN CAPITAL LETTER I
	í			í	4	U+00ED	LATIN SMALL LETTER I WITH ACUTE
	ì			ì	1	U+00EC	LATIN SMALL LETTER I WITH GRAVE
	î			î	1	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX
	ï			ï	148	U+00EF	LATIN SMALL LETTER I WITH DIAERESIS
	j			j	2880	U+006A	LATIN SMALL LETTER J
	J			J	297	U+004A	LATIN CAPITAL LETTER J
	k			k	6325	U+006B	LATIN SMALL LETTER K
	K			K	522	U+004B	LATIN CAPITAL LETTER K
	l			l	11364	U+006C	LATIN SMALL LETTER L
	L			L	582	U+004C	LATIN CAPITAL LETTER L
	m			m	5769	U+006D	LATIN SMALL LETTER M
	M			M	862	U+004D	LATIN CAPITAL LETTER M
	n			n	20635	U+006E	LATIN SMALL LETTER N
	N			N	584	U+004E	LATIN CAPITAL LETTER N
	ñ			ñ	1	U+00F1	LATIN SMALL LETTER N WITH TILDE
	o			o	15177	U+006F	LATIN SMALL LETTER O
	O			O	549	U+004F	LATIN CAPITAL LETTER O
	º			º	1	U+00BA	MASCULINE ORDINAL INDICATOR
	ó			ó	18	U+00F3	LATIN SMALL LETTER O WITH ACUTE
	ô			ô	6	U+00F4	LATIN SMALL LETTER O WITH CIRCUMFLEX
	Ô			Ô	1	U+00D4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
	ö			ö	29	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
	Ö			Ö	1	U+00D6	LATIN CAPITAL LETTER O WITH DIAERESIS
	ø			ø	1	U+00F8	LATIN SMALL LETTER O WITH STROKE
	Ø			Ø	1	U+00D8	LATIN CAPITAL LETTER O WITH STROKE
	p			p	5154	U+0070	LATIN SMALL LETTER P
	P			P	690	U+0050	LATIN CAPITAL LETTER P
	q			q	104	U+0071	LATIN SMALL LETTER Q
	Q			Q	27	U+0051	LATIN CAPITAL LETTER Q
	r			r	18965	U+0072	LATIN SMALL LETTER R
	R			R	703	U+0052	LATIN CAPITAL LETTER R
	s			s	13510	U+0073	LATIN SMALL LETTER S
	S			S	1214	U+0053	LATIN CAPITAL LETTER S
	š			š	1	U+0161	LATIN SMALL LETTER S WITH CARON
	ș			ș	1	U+0219	LATIN SMALL LETTER S WITH COMMA BELOW
	t			t	15904	U+0074	LATIN SMALL LETTER T
	T			T	626	U+0054	LATIN CAPITAL LETTER T
	ţ			ţ	1	U+0163	LATIN SMALL LETTER T WITH CEDILLA
	™			™	1	U+2122	TRADE MARK SIGN
	u			u	6530	U+0075	LATIN SMALL LETTER U
	U			U	184	U+0055	LATIN CAPITAL LETTER U
	ú			ú	7	U+00FA	LATIN SMALL LETTER U WITH ACUTE
	û			û	4	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX
	ü			ü	24	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS
	v			v	4617	U+0076	LATIN SMALL LETTER V
	V			V	659	U+0056	LATIN CAPITAL LETTER V
	w			w	2738	U+0077	LATIN SMALL LETTER W
	W			W	536	U+0057	LATIN CAPITAL LETTER W
	x			x	345	U+0078	LATIN SMALL LETTER X
	X			X	47	U+0058	LATIN CAPITAL LETTER X
	y			y	823	U+0079	LATIN SMALL LETTER Y
	Y			Y	57	U+0059	LATIN CAPITAL LETTER Y
	z			z	1827	U+007A	LATIN SMALL LETTER Z
	Z			Z	251	U+005A	LATIN CAPITAL LETTER Z
	ż			ż	3	U+017C	LATIN SMALL LETTER Z WITH DOT ABOVE
	Þ			Þ	1	U+00DE	LATIN CAPITAL LETTER THORN
	Δ			Δ	1	U+0394	GREEK CAPITAL LETTER DELTA
	μ			μ	1	U+03BC	GREEK SMALL LETTER MU
	ا			ا	2	U+0627	ARABIC LETTER ALEF
	چ			چ	1	U+0686	ARABIC LETTER TCHEH
	ر			ر	2	U+0631	ARABIC LETTER REH
	م			م	1	U+0645	ARABIC LETTER MEEM
	ن			ن	1	U+0646	ARABIC LETTER NOON
	ی			ی	1	U+06CC	ARABIC LETTER FARSI YEH
	चा			चा	1	U+091A, U+093E	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN AA
	ना			ना	1	U+0928, U+093E	DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN AA
	मी			मी	1	U+092E, U+0940	DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN II
