originals	errors
3264	Böck	B⁇ck
5376	Depourcq	Depourc⁇
7123	Eyjafjallajökull	Eyjafjallaj⁇kull
9189	Göteborg	G⁇teborg
9195	Götz	G⁇tz
10451	Houellebecq	Houellebec⁇
10624	í-geschriften	⁇-geschriften
11587	Jörg	J⁇rg
12732	Krödde	Kr⁇dde
13655	Löbl	L⁇bl
13691	Löhr	L⁇hr
15400	Nasdaq	Nasda⁇
15402	Nastaliq	Nastali⁇
15634	Nieder-österreich	Nieder-⁇sterreich
15723	Niqvist	Ni⁇vist
17108	Osaìne	Osa⁇ne
18725	Q-waarde	⁇-waarde
18729	Qatar	⁇atar
18730	Qdetect	⁇detect
18731	Qmanage	⁇manage
19562	Röling	R⁇ling
20217	Schröder	Schr⁇der
22141	Tareq	Tare⁇
25061	vlöggelen	vl⁇ggelen
26496	Wölfis	W⁇lfis
27049	zölfde	z⁇lfde
