originals	tokenized	transliterated
a	a	a
à	à	a
A-cursus	A-cursus	akœrsœs
A-jeugd	A-jeugd	ajøɣt
A-junioren	A-junioren	ajyniorən
A-verpleegkunde	A-verpleegkunde	avɛrpleɣkœndə
Aa	Aa	aa
Aaah	Aaah	aa
Aad	Aad	at
Aaien	Aaien	aɪən
Aalsmeer	Aalsmeer	alsmer
aambeeld	aambeeld	ambelt
aan	aan	an
Aan	Aan	an
aanbeet	aanbeet	anbet
aanbesteding	aanbesteding	anbəstedɪŋ
aanbetaling	aanbetaling	anbətalɪŋ
aanbeveling	aanbeveling	anbəvelɪŋ
Aanbeveling	Aanbeveling	anbəvelɪŋ
aanbevelingen	aanbevelingen	anbəvelɪŋən
aanbevolen	aanbevolen	anbəvolən
Aanbevolen	Aanbevolen	anbəvolən
aanbieden	aanbieden	anbidən
aanbieder	aanbieder	anbidər
aanbieders	aanbieders	anbidɛrs
aanbieding	aanbieding	anbidɪŋ
aanbiedingen	aanbiedingen	anbidɪŋən
aanbiedt	aanbiedt	anbit
aanblik	aanblik	anblɪk
aanbod	aanbod	anbɔt
aanbodsite	aanbodsite	anbɔtsitə
aanbood	aanbood	anbot
aanbouw	aanbouw	anbɑuʋ
aanbranden	aanbranden	anbrɑndən
Aanbreng	Aanbreng	anbrɛŋ
aanbrengen	aanbrengen	anbrɛŋən
aandacht	aandacht	andɑxt
Aandacht	Aandacht	andɑxt
aandachtsgebied	aandachtsgebied	andɑxtsɣəbit
aandachtsgebieden	aandachtsgebieden	andɑxtsɣəbidən
aandachtspunt	aandachtspunt	andɑxtspœnt
aandeed	aandeed	andet
aandeel	aandeel	andel
aandeelhouder	aandeelhouder	andelhɑudər
aandeelhouders	aandeelhouders	andelhɑudɛrs
aandelen	aandelen	andelən
aandelenfondsen	aandelenfondsen	andelɛnfɔntsən
aandelenmarkten	aandelenmarkten	andelɛnmɑrktən
aandelenrally	aandelenrally	andelɛnrɑli
aandenken	aandenken	andɛŋkən
aandient	aandient	andint
aandoend	aandoend	andunt
aandoening	aandoening	andunɪŋ
aandoenlijk	aandoenlijk	andunlək
aandoet	aandoet	andut
aandrijving	aandrijving	andrɛɪvɪŋ
aanduiding	aanduiding	andœydɪŋ
aaneen	aaneen	anen
aangaan	aangaan	anɣan
aangaande	aangaande	anɣandə
aangaat	aangaat	anɣat
aangaf	aangaf	anɣɑf
aangeaard	aangeaard	anɣəart
aangeboden	aangeboden	anɣəbodən
Aangeboren	Aangeboren	anɣəborən
aangebracht	aangebracht	anɣəbrɑxt
aangebrachte	aangebrachte	anɣəbrɑxtə
aangebroken	aangebroken	anɣəbrokən
aangedragen	aangedragen	anɣədraɣən
aangedreven	aangedreven	anɣədrevən
aangedrongen	aangedrongen	anɣədrɔŋən
aangeduid	aangeduid	anɣədœyt
aangeeft	aangeeft	anɣeft
aangegeven	aangegeven	anɣəɣəvən
aangehouden	aangehouden	anɣəhɑudən
aangekaart	aangekaart	anɣəkart
aangeklaagd	aangeklaagd	anɣəklaɣt
aangekocht	aangekocht	anɣəkɔxt
aangekomen	aangekomen	anɣəkomən
aangekondigd	aangekondigd	anɣəkɔndɪɣt
aangekondigde	aangekondigde	anɣəkɔndɪɣdə
aangeleerde	aangeleerde	anɣəlerdə
aangelegd	aangelegd	anɣəlɛɣt
aangelegenheid	aangelegenheid	anɣəleɣənhɛɪt
aangeleverd	aangeleverd	anɣəlevɛrt
aangeleverde	aangeleverde	anɣəlevɛrdə
aangelopen	aangelopen	anɣəlopən
aangemaakt	aangemaakt	anɣəmakt
aangemeld	aangemeld	anɣəmɛlt
aangemerkt	aangemerkt	anɣəmɛrkt
aangenaam	aangenaam	anɣənam
aangename	aangename	anɣənamə
aangenamekruidige	aangenamekruidige	anɣənamɛkrœydəɣə
aangenomen	aangenomen	anɣənomən
aangepakt	aangepakt	anɣəpɑkt
aangepast	aangepast	anɣəpɑst
Aangepast	Aangepast	anɣəpɑst
aangepaste	aangepaste	anɣəpɑstə
aangeraden	aangeraden	anɣəradən
aangereden	aangereden	anɣəredən
aangereikt	aangereikt	anɣərɛɪkt
aangerimpelde	aangerimpelde	anɣərɪmpɛldə
aangeroepen	aangeroepen	anɣərupən
aangeschaft	aangeschaft	anɣəsxɑft
aangeschoven	aangeschoven	anɣəsxovən
aangesloten	aangesloten	anɣəslotən
aangespoeld	aangespoeld	anɣəspult
Aangespoord	Aangespoord	anɣəsport
aangesproken	aangesproken	anɣəsprokən
aangesteld	aangesteld	anɣəstɛlt
aangestoken	aangestoken	anɣəstokən
aangetast	aangetast	anɣətɑst
aangetekend	aangetekend	anɣətekɛnt
aangetoond	aangetoond	anɣətont
aangetroffen	aangetroffen	anɣətrɔfən
aangetrokken	aangetrokken	anɣətrɔkən
aangevallen	aangevallen	anɣəvɑlən
aangeven	aangeven	anɣəvən
aangever	aangever	anɣəvər
aangevinkt	aangevinkt	anɣəvɪŋkt
aangevraagd	aangevraagd	anɣəvraɣt
aangevuld	aangevuld	anɣəvœlt
aangewezen	aangewezen	anɣəʋezən
aangezichtspijn	aangezichtspijn	anɣəzɪxtspɛɪn
aangezien	aangezien	anɣəzin
Aangezien	Aangezien	anɣəzin
aangifte	aangifte	anɣɪftə
