originals	tokenized	transliterated
a	a	a
à	à	a
A-cursus	A - c u r s u s	a k œ r s œ s
A-jeugd	A - j eu g d	a j ø ɣ t
A-junioren	A - j u n i o r e n	a j y n i o r ə n
A-verpleegkunde	A - v e r p l ee g k u n d e	a v ɛ r p l e ɣ k œ n d ə
Aa	A a	a a
Aaah	Aa a h	a a
Aad	Aa d	a t
Aaien	Aai e n	aɪ ə n
Aalsmeer	Aa l s m ee r	a l s m e r
aambeeld	aa m b ee l d	a m b e l t
aan	aa n	a n
Aan	Aa n	a n
aanbeet	aa n b ee t	a n b e t
aanbesteding	aa n b e s t e d i ng	a n b ə s t e d ɪ ŋ
aanbetaling	aa n b e t a l i ng	a n b ə t a l ɪ ŋ
aanbeveling	aa n b e v e l i ng	a n b ə v e l ɪ ŋ
Aanbeveling	Aa n b e v e l i ng	a n b ə v e l ɪ ŋ
aanbevelingen	aa n b e v e l i ng e n	a n b ə v e l ɪ ŋ ə n
aanbevolen	aa n b e v o l e n	a n b ə v o l ə n
Aanbevolen	Aa n b e v o l e n	a n b ə v o l ə n
aanbieden	aa n b ie d e n	a n b i d ə n
aanbieder	aa n b ie d e r	a n b i d ə r
aanbieders	aa n b ie d e r s	a n b i d ɛ r s
aanbieding	aa n b ie d i ng	a n b i d ɪ ŋ
aanbiedingen	aa n b ie d i ng e n	a n b i d ɪ ŋ ə n
aanbiedt	aa n b ie dt	a n b i t
aanblik	aa n b l i k	a n b l ɪ k
aanbod	aa n b o d	a n b ɔ t
aanbodsite	aa n b o d s i t e	a n b ɔ t s i t ə
aanbood	aa n b oo d	a n b o t
aanbouw	aa n b ou w	a n b ɑu ʋ
aanbranden	aa n b r a n d e n	a n b r ɑ n d ə n
Aanbreng	Aa n b r e ng	a n b r ɛ ŋ
aanbrengen	aa n b r e ng e n	a n b r ɛ ŋ ə n
aandacht	aa n d a ch t	a n d ɑ x t
Aandacht	Aa n d a ch t	a n d ɑ x t
aandachtsgebied	aa n d a ch t s g e b ie d	a n d ɑ x t s ɣ ə b i t
aandachtsgebieden	aa n d a ch t s g e b ie d e n	a n d ɑ x t s ɣ ə b i d ə n
aandachtspunt	aa n d a ch t s p u n t	a n d ɑ x t s p œ n t
aandeed	aa n d ee d	a n d e t
aandeel	aa n d ee l	a n d e l
aandeelhouder	aa n d ee l h ou d e r	a n d e l h ɑu d ə r
aandeelhouders	aa n d ee l h ou d e r s	a n d e l h ɑu d ɛ r s
aandelen	aa n d e l e n	a n d e l ə n
aandelenfondsen	aa n d e l e n f o n d s e n	a n d e l ɛ n f ɔ n t s ə n
aandelenmarkten	aa n d e l e n m a r k t e n	a n d e l ɛ n m ɑ r k t ə n
aandelenrally	aa n d e l e n r a ll y	a n d e l ɛ n r ɑ l i
aandenken	aa n d e n k e n	a n d ɛ ŋ k ə n
aandient	aa n d ie n t	a n d i n t
aandoend	aa n d oe n d	a n d u n t
aandoening	aa n d oe n i ng	a n d u n ɪ ŋ
aandoenlijk	aa n d oe n l ij k	a n d u n l ə k
aandoet	aa n d oe t	a n d u t
aandrijving	aa n d r ij v i ng	a n d r ɛɪ v ɪ ŋ
aanduiding	aa n d ui d i ng	a n d œy d ɪ ŋ
aaneen	aa n ee n	a n e n
aangaan	aa n g aa n	a n ɣ a n
aangaande	aa n g aa n d e	a n ɣ a n d ə
aangaat	aa n g aa t	a n ɣ a t
aangaf	aa n g a f	a n ɣ ɑ f
aangeaard	aa n g e aa r d	a n ɣ ə a r t
aangeboden	aa n g e b o d e n	a n ɣ ə b o d ə n
Aangeboren	Aa n g e b o r e n	a n ɣ ə b o r ə n
aangebracht	aa n g e b r a ch t	a n ɣ ə b r ɑ x t
aangebrachte	aa n g e b r a ch t e	a n ɣ ə b r ɑ x t ə
aangebroken	aa n g e b r o k e n	a n ɣ ə b r o k ə n
aangedragen	aa n g e d r a g e n	a n ɣ ə d r a ɣ ə n
aangedreven	aa n g e d r e v e n	a n ɣ ə d r e v ə n
aangedrongen	aa n g e d r o ng e n	a n ɣ ə d r ɔ ŋ ə n
aangeduid	aa n g e d ui d	a n ɣ ə d œy t
aangeeft	aa n g ee f t	a n ɣ e f t
aangegeven	aa n g e g e v e n	a n ɣ ə ɣ ə v ə n
aangehouden	aa n g e h ou d e n	a n ɣ ə h ɑu d ə n
aangekaart	aa n g e k aa r t	a n ɣ ə k a r t
aangeklaagd	aa n g e k l aa g d	a n ɣ ə k l a ɣ t
aangekocht	aa n g e k o ch t	a n ɣ ə k ɔ x t
aangekomen	aa n g e k o m e n	a n ɣ ə k o m ə n
aangekondigd	aa n g e k o n d i g d	a n ɣ ə k ɔ n d ɪ ɣ t
aangekondigde	aa n g e k o n d i g d e	a n ɣ ə k ɔ n d ɪ ɣ d ə
aangeleerde	aa n g e l ee r d e	a n ɣ ə l e r d ə
aangelegd	aa n g e l e g d	a n ɣ ə l ɛ ɣ t
aangelegenheid	aa n g e l e g e n h ei d	a n ɣ ə l e ɣ ə n h ɛɪ t
aangeleverd	aa n g e l e v e r d	a n ɣ ə l e v ɛ r t
aangeleverde	aa n g e l e v e r d e	a n ɣ ə l e v ɛ r d ə
aangelopen	aa n g e l o p e n	a n ɣ ə l o p ə n
