originals	errors
1	-	⁇
2	-a	⁇ a
3	-alleen	⁇ a ll ee n
4	-bedeling	⁇ b e d e l i ng
5	-Cacib	⁇ C a c i b
6	-componenten	⁇ c o m p o n e n t e n
7	-daarvóór	⁇ d aa r v óó r
8	-Deze	⁇ D e z e
9	-een	⁇ ee n
10	-H	⁇ H
11	-handvaardigheids	⁇ h a n d v aa r d i gh ei d s
12	-inmiddels	⁇ i n m i dd e l s
13	-jongen	⁇ j o ng e n
14	-juni	⁇ j u n i
15	-klik	⁇ k l i k
16	-leraren	⁇ l e r a r e n
17	-M	⁇ M
18	-motoren	⁇ m o t o r e n
19	-museum	⁇ m u s eu m
20	-naar	⁇ n aa r
21	-oefeningen	⁇ oe f e n i ng e n
22	-ontwerp	⁇ o n t w e r p
23	-uitgeverijen	⁇ ui t g e v e r ij e n
24	-van	⁇ v a n
25	-verdrag	⁇ v e r d r a g
26	-voornamelijk	⁇ v oo r n a m e l ij k
27	-Wijmpje	⁇ W ij m p j e
28	-woord	⁇ w oo r d
37	AA	A ⁇
343	AARDVARK	A ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
348	AART	A ⁇ ⁇ ⁇
365	ABN	A ⁇ ⁇
366	ABN-AMRO	A ⁇ ⁇ - A ⁇ ⁇ ⁇
373	ABS-remsysteem	A ⁇ ⁇ - r e m s y s t ee m
386	ABVV	A ⁇ ⁇ ⁇
387	ABZ	A ⁇ ⁇
388	AC	A ⁇
395	ACAP-standaarden	A ⁇ ⁇ ⁇ - s t a n d aa r d e n
429	ACE	A ⁇ ⁇
430	ACEA	A ⁇ ⁇ ⁇
432	ACFM-adviezen	A ⁇ ⁇ ⁇ - a d v ie z e n
535	ACW	A ⁇ ⁇
538	AD	A ⁇
545	ADD	A ⁇ ⁇
558	ADHD	A ⁇ ⁇ ⁇
562	ADINCA	A ⁇ ⁇ ⁇ ⁇ ⁇
574	ADO	A ⁇ ⁇
601	ADVIES	A ⁇ ⁇ ⁇ ⁇ ⁇
619	AED	A ⁇ ⁇
628	AEX	A ⁇ ⁇
629	AEX-fondsen	A ⁇ ⁇ - f o n d s e n
630	AEX-index	A ⁇ ⁇ - i n d e x
633	AF	A ⁇
755	AFM	A ⁇ ⁇
763	AFN	A ⁇ ⁇
874	AGOW	A ⁇ ⁇ ⁇
875	AGR	A ⁇ ⁇
885	ahahahahahJa	a h a h a h a h a h ⁇ a
909	AJAX	A ⁇ ⁇ ⁇
917	AKO-prijs	A ⁇ ⁇ - p r ij s
919	AKP	A ⁇ ⁇
941	ALBUM	A ⁇ ⁇ ⁇ ⁇
972	ALGIERS	A ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
1081	ALW	A ⁇ ⁇
1118	AMD	A ⁇ ⁇
1123	AMERICA	A ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
1153	AMSTERDAM	A ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
1176	ANC	A ⁇ ⁇
1246	ANP	A ⁇ ⁇
1247	ANP-AFX	A ⁇ ⁇ - A ⁇ ⁇
1250	ANT	A ⁇ ⁇
1291	ANTWERPEN	A ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
1298	ANWB	A ⁇ ⁇ ⁇
1301	AOW-leeftijd	A ⁇ ⁇ - l ee f t ij d
1302	AP	A ⁇
1314	API's	A ⁇ ⁇ ' s
1316	APK	A ⁇ ⁇
1354	APS	A ⁇ ⁇
1355	APS-Marketing	A ⁇ ⁇ - M a r k e t i ng
1356	APVDM	A ⁇ ⁇ ⁇ ⁇
1396	ARC	A ⁇ ⁇
1400	ARCADIS	A ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
1449	ARM	A ⁇ ⁇
1461	ARP	A ⁇ ⁇
1504	ASAP	A ⁇ ⁇ ⁇
1506	ASCII	A ⁇ ⁇ ⁇ ⁇
1507	ASCII-bestanden	A ⁇ ⁇ ⁇ ⁇ - b e s t a n d e n
1508	ASCII-karakter	A ⁇ ⁇ ⁇ ⁇ - k a r a k t e r
1509	ASEAN	A ⁇ ⁇ ⁇ ⁇
1524	ASML	A ⁇ ⁇ ⁇
1525	ASO	A ⁇ ⁇
1526	ASObakken	A ⁇ ⁇ b a kk e n
1529	ASP	A ⁇ ⁇
1530	ASP-applicaties	A ⁇ ⁇ - a pp l i c a t ie s
1561	ASTRIN	A ⁇ ⁇ ⁇ ⁇ ⁇
1568	ASV	A ⁇ ⁇
1569	ASWH	A ⁇ ⁇ ⁇
1576	ATBike	A ⁇ ⁇ i k e
1619	AURORA	A ⁇ ⁇ ⁇ ⁇ ⁇
1647	AutoLease	Au t o ⁇ e a s e
1670	AutoWeek	Au t o ⁇ ee k
1671	AUV	A ⁇ ⁇
1682	AVNeG	A ⁇ ⁇ e ⁇
1705	AWBZ	A ⁇ ⁇ ⁇
1713	AZ	A ⁇
1750	BabyXL	B a b y ⁇ ⁇
1775	BAGDAD	B ⁇ ⁇ ⁇ ⁇ ⁇
1806	BALISE	B ⁇ ⁇ ⁇ ⁇ ⁇
1823	BAM	B ⁇ ⁇
1896	BAS	B ⁇ ⁇
1934	BasWare	B a s ⁇ a r e
1938	BATAVIA	B ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
1954	BBC	B ⁇ ⁇
1955	BBEWIDGDTKIDL	B ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
1956	BBQ	B ⁇ ⁇
1957	BBS	B ⁇ ⁇
1958	BDP	B ⁇ ⁇
1961	BE	B ⁇
1962	BE-entertainment	B ⁇ - e n t e r t ai n m e n t
1986	BeBook	B e ⁇ oo k
2170	BEGRIPPEN	B ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
2183	BEHALVE	B ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
2375	BELGA	B ⁇ ⁇ ⁇ ⁇
2414	BeLux	B e ⁇ u x
2564	BERINGEN	B ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
2573	BERLIJN	B ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
2711	BestBoogies	B e s t ⁇ oo g ie s
3049	BHP	B ⁇ ⁇
3050	BHV	B ⁇ ⁇
3086	BIG-register	B ⁇ ⁇ - r e g i s t e r
3091	BIJ	B ⁇ ⁇
3174	BILZEN	B ⁇ ⁇ ⁇ ⁇ ⁇
3175	BIM-wet	B ⁇ ⁇ - w e t
3237	BIOMEX	B ⁇ ⁇ ⁇ ⁇ ⁇
3239	BioScience	B i o ⁇ ci e n c e
3261	BitweenUs	B i t w ee n ⁇ s
3265	BKR	B ⁇ ⁇
3276	BladCadeau	B l a d ⁇ a d eau
3397	BlueWell	B l u e ⁇ e ll
3408	BMG	B ⁇ ⁇
3409	BMP	B ⁇ ⁇
3410	BMW	B ⁇ ⁇
3411	BNC	B ⁇ ⁇
3412	bNO	b ⁇ ⁇
3413	BNO	B ⁇ ⁇
3414	BNP	B ⁇ ⁇
3423	BOC	B ⁇ ⁇
3426	Böck	B ⁇ ck
3567	BONUSOUNTENCOMP	B ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
3568	BONUSPUNTENCOMP	B ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇ ⁇
3642	BOSK	B ⁇ ⁇ ⁇
3658	BotChristophe	B o t ⁇ h r i s t o p h e
3751	BOX	B ⁇ ⁇
3761	BP	B ⁇
