Grapheme	Frequency	Codepoint	UnicodeName
-	28	U+002D	HYPHEN-MINUS
A	246	U+0041	LATIN CAPITAL LETTER A
B	118	U+0042	LATIN CAPITAL LETTER B
C	150	U+0043	LATIN CAPITAL LETTER C
D	137	U+0044	LATIN CAPITAL LETTER D
E	243	U+0045	LATIN CAPITAL LETTER E
F	52	U+0046	LATIN CAPITAL LETTER F
G	85	U+0047	LATIN CAPITAL LETTER G
H	61	U+0048	LATIN CAPITAL LETTER H
I	206	U+0049	LATIN CAPITAL LETTER I
í	1	U+00ED	LATIN SMALL LETTER I WITH ACUTE
ì	1	U+00EC	LATIN SMALL LETTER I WITH GRAVE
J	24	U+004A	LATIN CAPITAL LETTER J
K	67	U+004B	LATIN CAPITAL LETTER K
L	99	U+004C	LATIN CAPITAL LETTER L
M	133	U+004D	LATIN CAPITAL LETTER M
N	185	U+004E	LATIN CAPITAL LETTER N
O	194	U+004F	LATIN CAPITAL LETTER O
ö	15	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
P	126	U+0050	LATIN CAPITAL LETTER P
q	7	U+0071	LATIN SMALL LETTER Q
Q	11	U+0051	LATIN CAPITAL LETTER Q
R	175	U+0052	LATIN CAPITAL LETTER R
S	244	U+0053	LATIN CAPITAL LETTER S
T	139	U+0054	LATIN CAPITAL LETTER T
U	79	U+0055	LATIN CAPITAL LETTER U
V	120	U+0056	LATIN CAPITAL LETTER V
W	84	U+0057	LATIN CAPITAL LETTER W
X	17	U+0058	LATIN CAPITAL LETTER X
Y	8	U+0059	LATIN CAPITAL LETTER Y
Z	32	U+005A	LATIN CAPITAL LETTER Z
